Trial,Mean,Error,Std.,Error,Angle,Ztheta,s1,r,s,Q,Omega2,Epsilon,V,rho,Z,A,Avagadro,Ne,W,Correction,Result,drdet2,da2,domega,depsilon,dQ,dr2,dsmins1sq,dsquig,domega2,depsilonth^2,ds1,dadd,dW
17,236.65581,0.36246,16.02534,0.41712,120,168.35,-3,10,40,74009180.75,0.010074373,0.618472352,31.58273301,2.7,13,26.982,6.02214E+23,2.47419E+25,2.02112E-26,1.87,3.77949E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.006577737,0.006875073,0.033138461,-0.000122657,-0.013333333,0.013482499,1.32433E-26
18,208.00721,0.24496,21.10741,0.29152,135,156.35,-6.5,10,40,74009180.75,0.008679392,0.663267244,31.58273301,2.7,13,26.982,6.02214E+23,2.47419E+25,2.65133E-26,1.934,5.12766E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.006082639,0.006403007,0.032191514,-6.44317E-05,-0.006153846,0.006470689,1.92214E-26
19,595.56816,0.29612,25.56307,0.34322,20,184.14,21.9,5,60,74009180.75,0.013297319,0.257551378,15.7913665,8.96,29,63.546,6.02214E+23,3.88856E+25,1.18471E-25,1.57,1.85999E-25,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.004,0.007423693,0.008432747,0.036517041,-1.4197E-05,0.001826484,0.004397277,7.82037E-26
20,542.0781,0.36064,29.91244,0.40566,30,206.603,10.1,5,60,74009180.75,0.007807108,0.293470688,15.7913665,8.96,29,63.546,6.02214E+23,3.88856E+25,5.00098E-26,1.582,7.91156E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.004,0.005668191,0.006937462,0.033266541,-2.73407E-05,0.003960396,0.00562892,2.79298E-26
22,429.35145,0.25825,29.5689,0.28058,60,467.897,7.6,7,30,74009180.75,0.035650653,0.386418497,22.1079131,8.96,29,63.546,6.02214E+23,5.44398E+25,1.13094E-26,1.658,1.87511E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002857143,0.012626907,0.012946121,0.047810255,-2.43068E-05,0.005263158,0.005988664,1.08571E-26
23,295.58315,0.2792,20.4822,0.31445,90,328.137,3.8,10,30,74009180.75,0.024966881,0.535618759,31.58273301,8.96,29,63.546,6.02214E+23,7.77711E+25,6.13082E-27,1.745,1.06983E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.010795523,0.010979222,0.042677506,-5.45852E-05,0.010526316,0.010714631,5.42958E-27
25,260.91318,0.27138,17.51123,0.31802,105,300.88,0.7,10,30,74009180.75,0.020485298,0.58291717,31.58273301,8.96,29,63.546,6.02214E+23,7.77711E+25,5.52806E-27,1.795,9.92287E-27,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.009653335,0.00985834,0.039885469,-6.10804E-05,0.057142857,0.057177846,4.68462E-27
26,233.02545,0.25149,16.9202,0.32555,120,213.747,-0.3,10,40,74009180.75,0.01138859,0.623976977,31.58273301,8.96,29,63.546,6.02214E+23,7.77711E+25,6.57292E-27,1.87,1.22914E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.00701843,0.007297832,0.034019017,-6.0105E-05,-0.133333333,0.133348332,4.89583E-27
27,205.40904,0.41613,20.32028,0.5982,135,184.153,-6.5,10,40,74009180.75,0.008679392,0.667486793,31.58273301,8.96,29,63.546,6.02214E+23,7.77711E+25,9.872E-27,1.934,1.90924E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.006082639,0.006403007,0.032191514,-0.000188311,-0.006153846,0.006470689,5.94329E-27
28,617.50908,0.34543,27.09716,0.39852,20,182.767,21.9,5,60,74009180.75,0.013297319,0.244121445,15.7913665,8.96,29,63.546,6.02214E+23,3.88856E+25,1.24056E-25,1.57,1.94769E-25,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.004,0.007423693,0.008432747,0.036517041,-1.73566E-05,0.001826484,0.004397277,7.90161E-26
29,569.19314,0.41399,29.03099,0.52514,30,209.88,10.1,5,60,74009180.75,0.007807108,0.274676866,15.7913665,8.96,29,63.546,6.02214E+23,3.88856E+25,5.42791E-26,1.582,8.58695E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.004,0.005668191,0.006937462,0.033266541,-3.15614E-05,0.003960396,0.00562892,2.83107E-26
30,510.05581,0.22622,28.07806,0.26077,45,306.137,11.6,7,44,74009180.75,0.017870102,0.317328581,22.1079131,8.96,29,63.546,6.02214E+23,5.44398E+25,3.09076E-26,1.613,4.9854E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002857143,0.008729713,0.009185378,0.038267017,-1.2578E-05,0.003448276,0.004478155,2.29284E-26
31,427.13712,0.2225,28.31045,0.25208,60,481,7.6,7,30,74009180.75,0.035650653,0.388512641,22.1079131,8.96,29,63.546,6.02214E+23,5.44398E+25,1.15635E-26,1.658,1.91723E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002857143,0.012626907,0.012946121,0.047810255,-1.82391E-05,0.005263158,0.005988664,1.12101E-26
32,355.18755,0.25917,24.51569,0.30064,75,349.903,8.3,10,30,74009180.75,0.034393585,0.463098705,31.58273301,8.96,29,63.546,6.02214E+23,7.77711E+25,8.1004E-27,1.705,1.38112E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.013034226,0.013186776,0.048455036,-3.516E-05,0.004819277,0.0052178,8.11076E-27
33,305.80952,0.19783,20.15535,0.22926,90,334.213,3.8,10,30,74009180.75,0.024966881,0.522414907,31.58273301,8.96,29,63.546,6.02214E+23,7.77711E+25,6.40217E-27,1.745,1.11718E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.010795523,0.010979222,0.042677506,-2.60704E-05,0.010526316,0.010714631,5.83223E-27
34,269.34067,0.19555,17.36146,0.24047,105,306.333,0.7,10,30,74009180.75,0.020485298,0.57104915,31.58273301,8.96,29,63.546,6.02214E+23,7.77711E+25,5.74522E-27,1.795,1.03127E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.009653335,0.00985834,0.039885469,-3.04365E-05,0.057142857,0.057177846,5.01549E-27
35,240.86993,0.21147,16.15975,0.26288,120,216.203,-3,10,40,74009180.75,0.010074373,0.612143459,31.58273301,8.96,29,63.546,6.02214E+23,7.77711E+25,8.34301E-27,1.87,1.56014E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.006577737,0.006875073,0.033138461,-4.09012E-05,-0.013333333,0.013482499,6.16563E-27
36,212.94562,0.36844,21.34426,0.47272,135,190.807,-6.5,10,40,74009180.75,0.008679392,0.655320429,31.58273301,8.96,29,63.546,6.02214E+23,7.77711E+25,1.04186E-26,1.934,2.01496E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.006082639,0.006403007,0.032191514,-0.00014229,-0.006153846,0.006470689,6.72293E-27
